(0,), 0.6681318681318681
(232, '0', '1'), 0.0
(232, '1', '0'), 0.10344827586206896
(232, '1', '1'), 0.0
(233, '0', '0'), 0.02102803738317757
(233, '0', '1'), 0.4
(233, '1', '0'), 0.13636363636363635
(234, '0', '0'), 0.025404157043879907
(234, '0', '1'), 0.0
(234, '1', '0'), 0.0
(234, '1', '1'), 0.3333333333333333
(235, '0', '0'), 0.020642201834862386
(235, '0', '1'), 0.0
(235, '1', '0'), 0.25
(236, '0', '0'), 0.03855421686746988
(236, '0', '1'), 0.07142857142857142
(236, '1', '0'), 0.3
(236, '1', '1'), 0.5
(237, '0', '0'), 0.01904761904761905
(237, '0', '1'), 0.07692307692307693
(237, '1', '0'), 0.09090909090909091
(238, '0', '0'), 0.0319634703196347
(238, '0', '1'), 0.16666666666666666
(238, '1', '0'), 0.4
(238, '1', '1'), 0.0
(239, '0', '0'), 0.028169014084507043
(239, '0', '1'), 0.0
(239, '1', '0'), 0.1111111111111111
(239, '1', '1'), 0.0
(24, '0'), 0.1722488038277512
(24, '1'), 0.10810810810810811
(240, '0', '0'), 0.027972027972027972
(240, '0', '1'), 0.08333333333333333
(240, '1', '0'), 0.21428571428571427
(241, '0', '0'), 0.016241299303944315
(241, '0', '1'), 0.0
(241, '1', '0'), 0.125
(242, '0', '0'), 0.011363636363636364
(242, '0', '1'), 0.0
(242, '1', '0'), 0.0
(242, '1', '1'), 0.0
(243, '0', '0'), 0.01580135440180587
(243, '0', '1'), 0.0
(243, '1', '0'), 0.0
(244, '0', '0'), 0.028846153846153848
(244, '0', '1'), 0.03125
(244, '1', '0'), 0.14285714285714285
(245, '0', '0'), 0.011494252873563218
(245, '0', '1'), 0.0
(245, '1', '0'), 0.07142857142857142
(246, '0', '0'), 0.00909090909090909
(246, '0', '1'), 0.0
(246, '1', '0'), 0.0
(247, '0', '0'), 0.0091324200913242
(247, '0', '1'), 0.07692307692307693
(247, '1', '0'), 0.0
(248, '0', '0'), 0.02252252252252252
(248, '0', '1'), 0.0
(248, '1', '0'), 0.0
(249, '0', '0'), 0.009324009324009324
